"site","year","Descriptors","yield (modified)","for_join_control","grouping","modification","crop","yr_post_amelioration","decile","rainfall_mean_annual","yield  (un modified)","data source","price"
"Brimpton Lake",2016,"Spade.30_Clay.incorp_30",3.96736718593584,"Brimpton Lake_2016","Spade non organic","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Spade.30_Lc.incorp_30",3.93525962092452,"Brimpton Lake_2016","Spade plant","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Spade.30_Lc.incorp_30.Fert.incorp_30",3.9121568553887,"Brimpton Lake_2016","Spade mixed","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Spade.30_Fert.incorp_30.Clay.incorp_30",3.9046934138761,"Brimpton Lake_2016","Spade mixed","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Unmodified_Clay.incorp_10",3.74384354044529,"Brimpton Lake_2016","Unmodified non organic","Unmodified","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Unmodified_Fert.band_30.Clay.incorp_10",3.71341047055354,"Brimpton Lake_2016","Unmodified mixed","Unmodified","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Spade.30_none",3.66536767957806,"Brimpton Lake_2016","Spade none","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Spade.30_Lc.incorp_30.Clay.incorp_30",3.6316199868029,"Brimpton Lake_2016","Spade mixed","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Unmodified_Fert.band_30",3.44132181473814,"Brimpton Lake_2016","Unmodified fertiliser","Unmodified","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2016,"Spade.30_Fert.incorp_30",3.22027559438253,"Brimpton Lake_2016","Spade fertiliser","Spade","Barley",2,"decile_10",412.517741935484,3.63406496784004,"trial",0
"Brimpton Lake",2017,"Spade.30_Fert.incorp_30",1.97169364246136,"Brimpton Lake_2017","Spade fertiliser","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30",1.68821996208807,"Brimpton Lake_2017","Spade mixed","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_Lc.incorp_30.Fert.incorp_30",1.65618620589093,"Brimpton Lake_2017","Spade mixed","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_Fert.incorp_30.Clay.incorp_30",1.60469524642753,"Brimpton Lake_2017","Spade mixed","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_Clay.incorp_30",1.59043270632837,"Brimpton Lake_2017","Spade non organic","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_Lc.incorp_30.Clay.incorp_30",1.5859671186935,"Brimpton Lake_2017","Spade mixed","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_none",1.57931430446194,"Brimpton Lake_2017","Spade none","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Spade.30_Lc.incorp_30",1.49993620589093,"Brimpton Lake_2017","Spade plant","Spade","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Unmodified_Fert.band_30",1.37672244094488,"Brimpton Lake_2017","Unmodified fertiliser","Unmodified","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Unmodified_Clay.incorp_10",1.36195866141732,"Brimpton Lake_2017","Unmodified non organic","Unmodified","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2017,"Unmodified_Fert.band_30.Clay.incorp_10",1.10577974628171,"Brimpton Lake_2017","Unmodified mixed","Unmodified","Lupins",3,"decile_3",412.517741935484,1.06937153689122,"trial",0
"Brimpton Lake",2018,"Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30",4.78917341468539,"Brimpton Lake_2018","Spade mixed","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_Lc.incorp_30.Clay.incorp_30",4.761359193576,"Brimpton Lake_2018","Spade mixed","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_Lc.incorp_30.Fert.incorp_30",4.584258257329,"Brimpton Lake_2018","Spade mixed","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_Fert.incorp_30",4.52413928644017,"Brimpton Lake_2018","Spade fertiliser","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_Fert.incorp_30.Clay.incorp_30",4.29908889085393,"Brimpton Lake_2018","Spade mixed","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_Clay.incorp_30",4.21616144463497,"Brimpton Lake_2018","Spade non organic","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_none",4.1714927999211,"Brimpton Lake_2018","Spade none","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Spade.30_Lc.incorp_30",4.04159558115412,"Brimpton Lake_2018","Spade plant","Spade","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Unmodified_Clay.incorp_10",3.88989655109796,"Brimpton Lake_2018","Unmodified non organic","Unmodified","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Unmodified_Fert.band_30.Clay.incorp_10",3.35818524672418,"Brimpton Lake_2018","Unmodified mixed","Unmodified","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brimpton Lake",2018,"Unmodified_Fert.band_30",2.84511405377987,"Brimpton Lake_2018","Unmodified fertiliser","Unmodified","Wheat",4,"decile_7",412.517741935484,2.35065982366926,"trial",0
"Brooker",2019,"Spade.30_Lc@15.incorp_30.K_added.surface",3.80333333333333,"Brooker_2019","Spade mixed","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Lc@15.incorp_30",3.79666666666667,"Brooker_2019","Spade plant","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Lc@8.incorp_30.K_added.surface",2.54,"Brooker_2019","Spade mixed","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Lc@8.incorp_30",1.66333333333333,"Brooker_2019","Spade plant","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Lc@4.incorp_30.K_added.surface",1.50666666666667,"Brooker_2019","Spade mixed","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Fert.incorp_30",1.38333333333333,"Brooker_2019","Spade fertiliser","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Lc@4.incorp_30",1.37,"Brooker_2019","Spade plant","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_Fert.incorp_30.K_added.incorp_30",1.25333333333333,"Brooker_2019","Spade fertiliser","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_none",0.546666666666667,"Brooker_2019","Spade none","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Spade.30_K_added.surface",0.503333333333333,"Brooker_2019","Spade fertiliser","Spade","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2019,"Unmodified_K_added.surface",0.04,"Brooker_2019","Unmodified fertiliser","Unmodified","wheat",0,"decile_6",412.517741935484,0.0166666666666667,"trial",0
"Brooker",2020,"Spade.30_Lc@15.incorp_30.K_added.surface",1.023698445,"Brooker_2020","Spade mixed","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Lc@15.incorp_30",0.918807878333333,"Brooker_2020","Spade plant","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Lc@4.incorp_30.K_added.surface",0.81717669,"Brooker_2020","Spade mixed","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Lc@8.incorp_30.K_added.surface",0.780027706666667,"Brooker_2020","Spade mixed","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Lc@8.incorp_30",0.754213199,"Brooker_2020","Spade plant","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Lc@4.incorp_30",0.636338093333333,"Brooker_2020","Spade plant","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_K_added.surface",0.561481224,"Brooker_2020","Spade fertiliser","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Fert.incorp_30",0.507719781666667,"Brooker_2020","Spade fertiliser","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_Fert.incorp_30.K_added.incorp_30",0.489207315,"Brooker_2020","Spade fertiliser","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Unmodified_K_added.surface",0.452576848,"Brooker_2020","Unmodified fertiliser","Unmodified","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2020,"Spade.30_none",0.255265543,"Brooker_2020","Spade none","Spade","canola",1,"decile_6",412.517741935484,0.094057137,"trial",0
"Brooker",2021,"Spade.30_Lc@15.incorp_30.K_added.surface",2.46119232166667,"Brooker_2021","Spade mixed","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Lc@8.incorp_30.K_added.surface",2.34428971266667,"Brooker_2021","Spade mixed","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Lc@4.incorp_30.K_added.surface",2.33346323166667,"Brooker_2021","Spade mixed","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Fert.incorp_30.K_added.incorp_30",2.14692630533333,"Brooker_2021","Spade fertiliser","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_K_added.surface",1.88110178966667,"Brooker_2021","Spade fertiliser","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Lc@8.incorp_30",1.75647895566667,"Brooker_2021","Spade plant","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Lc@15.incorp_30",1.580785832,"Brooker_2021","Spade plant","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Fert.incorp_30",1.484200432,"Brooker_2021","Spade fertiliser","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Unmodified_K_added.surface",1.149788735,"Brooker_2021","Unmodified fertiliser","Unmodified","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_Lc@4.incorp_30",1.09361329833333,"Brooker_2021","Spade plant","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Brooker",2021,"Spade.30_none",0.752594097666667,"Brooker_2021","Spade none","Spade","wheat",2,"decile_7",412.517741935484,0.569583868666667,"trial",0
"Buckleboo",2019,"Rip.45IncRip_Fert_High.band_45",2.241016,"Buckleboo_2019","IncRip fertiliser","IncRip","wheat",0,"decile_1",350.525806451613,1.658451,"trial",0
"Buckleboo",2019,"Rip.45IncRip_Fert_APP.band_45",2.16747233333333,"Buckleboo_2019","IncRip fertiliser","IncRip","wheat",0,"decile_1",350.525806451613,1.658451,"trial",0
"Buckleboo",2019,"Rip.45IncRip_Fert_Low.band_45",2.04682766666667,"Buckleboo_2019","IncRip fertiliser","IncRip","wheat",0,"decile_1",350.525806451613,1.658451,"trial",0
"Buckleboo",2019,"Rip.45IncRip_none",1.95758366666667,"Buckleboo_2019","IncRip none","IncRip","wheat",0,"decile_1",350.525806451613,1.658451,"trial",0
"Buckleboo",2019,"Rip.45_none",1.953452,"Buckleboo_2019","Rip none","Rip","wheat",0,"decile_1",350.525806451613,1.658451,"trial",0
"Buckleboo",2019,"Rip.35_none",1.839418,"Buckleboo_2019","Rip none","Rip","wheat",0,"decile_1",350.525806451613,1.658451,"trial",0
"Buckleboo",2020,"Rip.45IncRip_Fert_High.band_45",1.74052533333333,"Buckleboo_2020","IncRip fertiliser","IncRip","barley",1,"decile_6",350.525806451613,1.72819866666667,"trial",0
"Buckleboo",2020,"Rip.45IncRip_Fert_Low.band_45",1.71833733333333,"Buckleboo_2020","IncRip fertiliser","IncRip","barley",1,"decile_6",350.525806451613,1.72819866666667,"trial",0
"Buckleboo",2020,"Rip.45IncRip_Fert_APP.band_45",1.641912,"Buckleboo_2020","IncRip fertiliser","IncRip","barley",1,"decile_6",350.525806451613,1.72819866666667,"trial",0
"Buckleboo",2020,"Rip.45_none",1.62218933333333,"Buckleboo_2020","Rip none","Rip","barley",1,"decile_6",350.525806451613,1.72819866666667,"trial",0
"Buckleboo",2020,"Rip.45IncRip_none",1.567952,"Buckleboo_2020","IncRip none","IncRip","barley",1,"decile_6",350.525806451613,1.72819866666667,"trial",0
"Buckleboo",2020,"Rip.35_none",1.55316,"Buckleboo_2020","Rip none","Rip","barley",1,"decile_6",350.525806451613,1.72819866666667,"trial",0
"Buckleboo",2021,"Rip.45IncRip_Fert_APP.band_45",0.623055333333333,"Buckleboo_2021","IncRip fertiliser","IncRip","lentil",2,"decile_5",350.525806451613,0.4251485,"trial",0
"Buckleboo",2021,"Rip.45IncRip_Fert_High.band_45",0.607355,"Buckleboo_2021","IncRip fertiliser","IncRip","lentil",2,"decile_5",350.525806451613,0.4251485,"trial",0
"Buckleboo",2021,"Rip.45IncRip_Fert_Low.band_45",0.601570666666667,"Buckleboo_2021","IncRip fertiliser","IncRip","lentil",2,"decile_5",350.525806451613,0.4251485,"trial",0
"Buckleboo",2021,"Rip.45_none",0.570996333333333,"Buckleboo_2021","Rip none","Rip","lentil",2,"decile_5",350.525806451613,0.4251485,"trial",0
"Buckleboo",2021,"Rip.45IncRip_none",0.529679666666667,"Buckleboo_2021","IncRip none","IncRip","lentil",2,"decile_5",350.525806451613,0.4251485,"trial",0
"Buckleboo",2021,"Rip.35_none",0.5019975,"Buckleboo_2021","Rip none","Rip","lentil",2,"decile_5",350.525806451613,0.4251485,"trial",0
"Bute_CSIRO",2018,"Rip.30_Cl@7.5.band_30",4.84606675,"Bute_CSIRO_2018","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.50IncRip_Cl@7.5.incorp_50",4.57480625,"Bute_CSIRO_2018","IncRip animal","IncRip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.30_Cl@7.5.surface",4.5011155,"Bute_CSIRO_2018","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.50_Cl@7.5.band_50",4.449053,"Bute_CSIRO_2018","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Unmodified_Cl@7.5.surface",4.41005075,"Bute_CSIRO_2018","Unmodified animal","Unmodified","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.50_Cl@2.5.surface_Yr18,19,20",4.329934,"Bute_CSIRO_2018","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.50_Cl@7.5.surface",4.3078595,"Bute_CSIRO_2018","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Unmodified_Cl@2.5.surface_Yr18,19,20",4.255678,"Bute_CSIRO_2018","Unmodified animal","Unmodified","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.30_none",4.053854,"Bute_CSIRO_2018","Rip none","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.50IncRip_none",3.83105625,"Bute_CSIRO_2018","IncRip none","IncRip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2018,"Rip.50_none",3.634736,"Bute_CSIRO_2018","Rip none","Rip","wheat",0,"decile_2",389.156451612903,4.053378,"trial",0
"Bute_CSIRO",2019,"Rip.50_Cl@7.5.surface",5.372017,"Bute_CSIRO_2019","Rip animal","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Unmodified_Cl@2.5.surface_Yr18,19,20",5.34098775,"Bute_CSIRO_2019","Unmodified animal","Unmodified","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.30_Cl@7.5.surface",5.241236,"Bute_CSIRO_2019","Rip animal","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Unmodified_Cl@7.5.surface",5.17087725,"Bute_CSIRO_2019","Unmodified animal","Unmodified","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.50_Cl@7.5.band_50",5.05824375,"Bute_CSIRO_2019","Rip animal","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.50_Cl@2.5.surface_Yr18,19,20",4.82827625,"Bute_CSIRO_2019","Rip animal","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.30_Cl@7.5.band_30",4.750837,"Bute_CSIRO_2019","Rip animal","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.30_none",4.742269,"Bute_CSIRO_2019","Rip none","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.50IncRip_Cl@7.5.incorp_50",4.672297,"Bute_CSIRO_2019","IncRip animal","IncRip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.50IncRip_none",4.5435985,"Bute_CSIRO_2019","IncRip none","IncRip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2019,"Rip.50_none",4.36863875,"Bute_CSIRO_2019","Rip none","Rip","barley",1,"decile_1",389.156451612903,4.364206,"trial",0
"Bute_CSIRO",2020,"Unmodified_Cl@7.5.surface",2.39657738095238,"Bute_CSIRO_2020","Unmodified animal","Unmodified","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Unmodified_Cl@2.5.surface_Yr18,19,20",2.33110119047619,"Bute_CSIRO_2020","Unmodified animal","Unmodified","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.50_Cl@2.5.surface_Yr18,19,20",2.27566964285714,"Bute_CSIRO_2020","Rip animal","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.30_Cl@7.5.surface",2.26078869047619,"Bute_CSIRO_2020","Rip animal","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.30_Cl@7.5.band_30",2.21391369047619,"Bute_CSIRO_2020","Rip animal","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.50_Cl@7.5.surface",2.16927083333333,"Bute_CSIRO_2020","Rip animal","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.50_Cl@7.5.band_50",2.14546130952381,"Bute_CSIRO_2020","Rip animal","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.50IncRip_Cl@7.5.incorp_50",2.08444940476191,"Bute_CSIRO_2020","IncRip animal","IncRip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.30_none",2.03794642857143,"Bute_CSIRO_2020","Rip none","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2020,"Rip.50_none",1.86755952380953,"Bute_CSIRO_2020","Rip none","Rip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
